state,abbreviation,name,href
California,CA,Southern Alameda County Mutual Aid Network,https://docs.google.com/spreadsheets/d/1ohLvcia1Ge-cehBMce2vqXRrJU_Wj3lW82Z-YWHZhIc/edit?usp=sharing
California,CA,Ventura County Mutual Aid,https://www.dsaventuracounty.org/covid_19_mutual_aid
California,CA,West Oakland Punks With Lunch,https://www.punkswithlunch.org/
,,,
Connecticut,CT,#SurvivingInside,http://www.ctbailfund.org/surviving-inside?fbclid=IwAR2Yfr0ULTz0RZMKM44swvq3grUwygKpXtG4mXgM1PPapHbILFsebqNJxYE
Connecticut,CT,New Haven Mutual Aid,https://www.facebook.com/groups/501197987165893/
Connecticut,CT,Stratford Mutual Aid,https://www.facebook.com/groups/StratfordMutualAid
,,,
Colorado,CO,Aurora Mutual Aid,https://www.facebook.com/groups/2704399092941296/
Colorado,CO,Denver Service Worker Solidarity,https://denversolidarity.com/
Colorado,CO,Front Range Mutual Aid,https://www.facebook.com/COmutualists/
Colorado,CO,Mutual Aid Denver,https://mutualaiddenver.org/
Colorado,CO,Mutual Aid in Southwest Colorado,https://www.facebook.com/groups/SouthwestColoradoCOVID19MutualAid/
Colorado,CO,Northern Colorado Mutual Aid and Defense,https://twitter.com/NoCoCMAD
Colorado,CO,Safe Access For Everyone,https://www.facebook.com/SAFEboco/
Colorado,CO,Sharehouse/Good Samaritan Center,https://www.montezumafoodcoalition.org/covid19-mutual-aid
,,,
Florida,FL,Gainesville Mutual Aid,https://www.facebook.com/groups/243135496869312/
Florida,FL,Lake Worth Food Not Bombs,https://www.facebook.com/fnblw/
Florida,FL,Tallahassee Community Assistance Network,https://www.facebook.com/groups/530850841189648
Florida,FL,Tampa Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSfDAa3Q7LK1YiJJDOFenqD46ncgl3XZZPVkOQAPL4KBO2dj6w/viewform
,,,
Georgia,GA,Athens Mutual Aid,https://www.facebook.com/groups/MutualAidAthens/
Georgia,GA,Atlanta Mutual Aid,https://docs.google.com/document/d/1_bJq94j3p2n-lDoETOH7wzhACjjmgw9l23QpbCa0Cag/mobilebasic
Georgia,GA,Food 4 Life,https://twitter.com/Food4LifeAtl
,,,
Idaho,ID,Idaho Mutual Aid Group,https://www.facebook.com/groups/599362557311758/
,,,
Illinois,IL,Brave Space Alliance,https://docs.google.com/forms/d/e/1FAIpQLSeFuaFQMR4SE3M7wbiB8FR0JOxOMzYXcBxhF6Yi_7MEcMMsFQ/viewform
Illinois,IL,Chicago Mutual Aid Volunteers,https://docs.google.com/forms/d/e/1FAIpQLSd0MK1dnny1BTlzvohuRlnlC6fHqXKqez0hrZJLuZ6F4-qu9w/viewform
Illinois,IL,Greater Bridgeport Mutual Aid,https://www.gbmachicago.org/
Illinois,IL,Little Italy Mutual Aid,https://twitter.com/littleitalyaid
Illinois,IL,Rockford Mutual Aid Volunteers,https://docs.google.com/forms/d/e/1FAIpQLSftFSaJCKiGiF8rjuZg3eXa4KMW_Uo-pVZP21GPnz-DiNk_1Q/viewform
Illinois,IL,University of Chicago Mutual Aid,https://www.facebook.com/groups/1290114234516495/
,,,
Indiana,IN,Bloomington Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSd-No5BLo6y-9ubpTnQAzFyOk7Q7gwel7iLpD-7Q9gpPF36sg/viewform
Indiana,IN,Fort Wayne Mutual Aid and Defense,https://www.facebook.com/SummitCityMutualAid/
Indiana,IN,Organized and United Residents of Michigan City,https://www.facebook.com/OURMICHIGANCITY/
,,,
Iowa,IA,Neighbors Helping Neighbors Des Moines,https://docs.google.com/forms/d/e/1FAIpQLSf4Nc5DHWkgewR6RVezyQ6bUw6jPSbdmBxWsKwEn4JzdT1iaw/viewform
,,,
Kansas,KS,Lawrence/Douglas County Mutual Aid,https://www.facebook.com/lfkmutual/
Kansas,KS,Madison Mutual Aid,https://www.facebook.com/groups/603411050515548/
,,,
Kentucky,KY,Kentucky Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSfpOVcRWyf872R8sHfLif01vV5doAG_2SGADsEgMZp6xVZJEw/viewform
Kentucky,KY,Lexington Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSeP4koOM1yO-tb6VicTWjZhCHTSrarceghikJROf6QL2Nc8eQ/viewform?fbclid=IwAR36e-f2AdpyseehKsQ-0NqfPLyOV-2PP0d6d3rEDgZO2O_u1ykne77n2po
Kentucky,KY,Louisville Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSdoUHjttKCV5tiTNbBh5Ym5C9MwFWt9S5wFeo_Yz42jKwWALw/viewform
Kentucky,KY,Louisville Mutual Aid,https://sites.google.com/view/louisvillemutualaid/home
Kentucky,KY,Youth Mutual Aid Fund,https://www.kystudentenvironmentalcoalition.org/covid-19-mutual-aid.html
,,,
Louisiana,LA,Bvlbancha Collective,https://www.bvlbanchacollective.com/blog/covid-19-mutual-aid
Louisiana,LA,New Orleans Mutual Aid,https://docs.google.com/document/d/1xy66dZV3S0HiuH3jB45BGvGRkOcn86fVyVZGwz5HY7o/edit
,,,
Maryland,MD,Baltimore Mutual Aid,https://docs.google.com/spreadsheets/d/1ReeJZuaIu1WYKZjCPH0pGC44Ot63P6fNjkZR1yuKt64/edit?fbclid=IwAR3JWVgubvMZtFCs4CJixnRihqC5iiOdAPlAhiM3JgKo22U5IZYTbotbeWI#gid=0
Maryland,MD,Mutual Aid and Emergency Relief Fund,https://www.facebook.com/donate/201582851152373/
Maryland,MD,Spire City Medics,https://www.spirecitymedics.org/
,,,
Massachusetts,MA,Boston Community Support Network,https://docs.google.com/forms/d/e/1FAIpQLSchoamaAgSCR159UHblb-5wQZDR_JSgRMZ6Zf1i3dKrcB7GyA/viewform
Massachusetts,MA,Charles River Mutual Aid,https://crmutualaid.com/
Massachusetts,MA,Lexington Mutual Aid,https://docs.google.com/document/d/1n7Qre55HQ8fFYC9D3BLQ1x5NWXrilNapylo2FAbaXm4/edit
Massachusetts,MA,Mutual Aid Jamaica Plain & Roxbury Network,https://docs.google.com/document/d/1sprOsMLFieTEU6fakfG5mqirp3AUUGKGz6JnDg29n78/edit
Massachusetts,MA,Mutual Aid Lynn,https://docs.google.com/document/d/1KUIRYC_gxWLhLkyYOlbcNC2nnUMOfWF-BG-rjf4E618/edit
Massachusetts,MA,Mutual Aid Medford and Somerville,https://docs.google.com/document/d/1RtYZ1wc8jxcSKDl555WszWhQWlOlSkNnfjIOYV0wXRA/edit?fbclid=IwAR3niHfV5F-XwzkgDPV7BDuR5wmmgKCd2YhyXEJH5eCj389IEP94HFG5y9Q
Massachusetts,MA,Solidarity Supply Distro,https://twitter.com/BostonDistro
Massachusetts,MA,Tufts Mutual Aid,https://www.facebook.com/tuftsmutualaid
Massachusetts,MA,Western Massachusetts Community Mutual Aid Network,https://docs.google.com/document/d/1s7nxiKPSrAtfSyHDZwPz2M6O5SdiiF4a3z1k-capCXQ/edit
,,,
Michigan,MI,Antrim County,https://www.facebook.com/groups/2228122717494765
Michigan,MI,Grand Rapids Mutual Aid,https://docs.google.com/spreadsheets/d/1HCxHBNJmgM3Fy_rsbutOKshOwJFXN1P76Ob1_xz0vg4/edit#gid=888340778
Michigan,MI,Huron Valley Mutual Aid,https://www.facebook.com/groups/2424471741198383/?ref=share
Michigan,MI,Kalamazoo,https://docs.google.com/forms/d/e/1FAIpQLSeW-Dmt_Z_QPu81ad0jo5gs4vjx2zREupOmdoLnn2JBntapGg/viewform
Michigan,MI,Lansing Mutual Aid,https://drive.google.com/drive/folders/1dYjcDkCtbVFZfnAGcKqHgFGv1OTKYakA
Michigan,MI,Leoni Township Mutual Aid,https://www.facebook.com/groups/144130126892991/
Michigan,MI,North West Michigan Mutual Aid,https://www.facebook.com/groups/784134155443201/
Michigan,MI,The Mutual Aid Network of Ypsilanti,https://www.facebook.com/ypsimutualaid
,,,
Minnesota,MN,Flatten the Curve Rochester,https://www.facebook.com/groups/flattenthecurverochestermn/
Minnesota,MN,Twin Cities Mutual Aid,https://sites.google.com/view/mspcovid/home
Minnesota,MN,Twin Cities Queer and Trans Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSdAlOLU9hOKMjwX4W2sQKF69FAF3ow_fSPzjKC67_iyYDRLaQ/viewform
,,,
Missouri,MO,Columbia Missouri Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSei6e4PL2b2IhElw-PmY92wgn0hROhTZajZjRAkJ-cANcrmWQ/viewform
Missouri,MO,Kansas City Mutual Aid,https://www.facebook.com/groups/1596299170524391/about/
Missouri,MO,Kansas City Radical Solidarity Fund,https://www.gofundme.com/f/kansas-city-radical-solidarity-fund
Missouri,MO,Kansas City Tenants Mutual Aid Fund,https://www.gofundme.com/f/kc-tenants-mutual-aid-fund
Missouri,MO,Solidarity with the Unhoused,https://www.gofundme.com/f/help-feed-new-orleans039-homeless?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet
Missouri,MO,St. Louis Mutual Aid,http://stlmutualaid.org/
,,,
Montana,MT,Bozeman Solidarity,https://bozemandsa.org/2020/03/14/bozeman-solidarity-and-covid-2019/
Montana,MT,Missoula Mutual Aid,http://covidmissoula.org/
,,,
Nebraska,NE,Lincoln/Omaha Mutual Aid,https://www.facebook.com/groups/668793277205015/
,,,
Nevada,NV,Las Vegas Mutual Aid,https://docs.google.com/forms/d/1puvT0C9otGy_dS_ONFhL7JYDcaeDY6lD2_-9syVaK8U/viewform?edit_requested=true
Nevada,NV,Washoe County Mutual Aid Solidarity Network,https://twitter.com/WashoeCoMASN
,,,
New Hampshire,NH,Manchester Mutual Aid,https://docs.google.com/spreadsheets/d/1nsTIfaqbvnq_7d1mUei_8JJNULiWpmmcfk9kTa-gGGI/edit?fbclid=IwAR0lV9-gRpklRTxzAtd76vMHsDrfV7Uz_5Zksuj8WnSxIKUFgH64pkLFvMM#gid=1727309836
New Hampshire,NH,Plymouth Area Mutual Aid,https://docs.google.com/spreadsheets/d/1RxrxzutseOvKH_oUIf620sty4vYheHNlbQpztbDXn7o/htmlview?fbclid=IwAR2_RFt1LxbiMU-Vewwh5TIq_TgtgZ9if79iUdGypy_UpgXvinb_23uGSos&urp=gmail_link
New Hampshire,NH,Seacoast Mutual Aid,https://docs.google.com/spreadsheets/d/11k8bJ3ipHBWEJFHTlLeHsUAAqVXkjJ0AQeOTfa9zkNQ/edit?fbclid=IwAR0t0zCU1gm5h-0k4u8Ev4PyvMC4UjNPVkNhtf13Qeu9qT__9K6t8Fkm9lQ#gid=1430464348
,,,
New Jersey,NJ,Central New Jersey,https://docs.google.com/forms/d/e/1FAIpQLSdyh97G4gkv_WOkVRJNWzhWP24I-ggLbVaajHHZeSzFPwpWuQ/viewform?fbclid=IwAR0TEPg5TDB9r9e2pT8VKswgzNs8bXXvN2S_7QUWysg9geFiCED8EWKJx54
New Jersey,NJ,North New Jersey Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSf0cqFpnzSuvbDxpgdG4Cs7l96xuOTqI8ydtFl_t-iO6A08NQ/viewform
,,,
New Mexico,NM,Albuquerque Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSdyWujg0aif-NtV-KdngGCR9-QBIzl59OvBzX74Lczdoo-1OQ/viewform
New Mexico,NM,Camp Red Sleeves Mutual Aid Fund,https://www.paypal.com/pools/c/8nL7pRQjvR
New Mexico,NM,Santa Fe Mutual Aid,https://www.earthcarenm.org/mutualaid_resources
,,,
New York,NY,Astoria Mutual Aid Network,https://www.astoriamutualaid.com/
New York,NY,Buffalo Mutual Aid Network,https://www.facebook.com/groups/740052889874229/
New York,NY,Capital District of NY Mutual Aid Network,https://docs.google.com/spreadsheets/d/13UBm4YpvppqWqxrYHIn51dH8DtwCL3tIcaPgMv7GBts/edit#gid=1370208035
New York,NY,For the Gworls,https://twitter.com/4thegworls
New York,NY,Friends of Westcott Mutual Aid Group,https://docs.google.com/forms/d/e/1FAIpQLSfsOqhZBPwqbLcreODbgeYDvIIfZ201p6aaGVIYYhN3645WYA/viewform
New York,NY,Lower East Side Mutual Aid,https://twitter.com/LESMutualAid
New York,NY,Nail Salon Worker Resilience Fund,https://secure.actblue.com/donate/nailtechresiliencefund
New York,NY,NYC Mutual Aid Network,https://docs.google.com/document/d/1aevxXYQgeP-uJa0eSI0YYIJKZBNkn-6Rjy_fY7zpRLo/edit
New York,NY,NYC United Against the Coronavirus,https://docs.google.com/document/d/18WYGoVlJuXYc3QFN1RABnARZlwDG3aLQsnNokl1KhZQ/edit
New York,NY,Red Hook Mutual Aid,https://www.facebook.com/RedHookMA/
New York,NY,We Keep Us Safe,https://twitter.com/WeKeepUs
,,,
North Carolina,NC,Asheville Survival Program,https://www.facebook.com/groups/AshevilleSurvivalProgram/
North Carolina,NC,Chapel Hill Food Not Bombs,https://www.instagram.com/foodnotbombs919/?hl=en
North Carolina,NC,Durham Mutual Aid,https://www.facebook.com/groups/136725174428010
North Carolina,NC,"Greensboro, NC",https://docs.google.com/spreadsheets/d/1snyuZyrdwEOLUqlIH-e93vE3sSlDirtni0bdGY1LW7Y/edit#gid=0
North Carolina,NC,Hendersonville Mutual Aid,https://www.instagram.com/hvlmutualaid/
North Carolina,NC,Marshall Mutual Aid Hub,https://ruralorganizing.wordpress.com/2020/04/01/get-involved-with-the-mutual-aid-response-in-madison-county/
North Carolina,NC,Mutual Aid Carrboro,https://www.mutualaidcarrboro.org/covid-19.html
North Carolina,NC,Surry County Mutual Aid Network,https://www.facebook.com/SurryCountyMutualAid/
,,,
Ohio,OH,Cleveland Pandemic Response,https://www.facebook.com/cprCLE/
Ohio,OH,Mutual Aid Central Ohio,https://docs.google.com/forms/d/e/1FAIpQLSeJF-PBvxYP8d4gAEZ3y3dhs3RTqK3U4J9kcMS-1fGh9wEPnQ/viewform
Ohio,OH,Mutual Aid Dayton/Miami Valley,https://docs.google.com/forms/d/e/1FAIpQLScdPCDu3-uo0t-JKNkm-J_yooPrin8nJagexqdt9l23XVgT_g/viewform
Ohio,OH,Mutual Aid Southeast Ohio,https://docs.google.com/forms/d/e/1FAIpQLScmBD3nC25kfVsPaUtMTzR4hlsRQEXlDHIW3S0lvVdIC2NaVA/viewform
,,,
Oklahoma,OK,Tulsa Mutual Aid Distribution,https://www.facebook.com/SocialistRATulsa/
,,,
Oregon,OR,Coalition of Graduate Employees Local 6069 Mutual Aid Caucus,https://www.cge6069.org/caucuses/mutual-aid-caucus/
Oregon,OR,Coast Mutual Aid,https://www.coastmutualaid.org/
Oregon,OR,Coast to Cascades COVID-19 Mutual Aid,https://coasttocascades.noblogs.org/
Oregon,OR,Lane County,https://docs.google.com/document/d/1Z18Ho7jQayfJzKcPZp807aEsLi4IEq89KodrGxOQX7E/edit
Oregon,OR,Pandemic Mutual Aid Network,https://www.facebook.com/PandemicNeighborhoodMAHub/
Oregon,OR,Portland Coronavirus Mutual Aid Fund,https://opencollective.com/portland-corona-virus-mutual-aid-fund
Oregon,OR,Portland COVID-19 Mutual Aid Hub,https://twitter.com/Symbiosis_PDX/status/1248300070338002947?s=20
Oregon,OR,Portland-area COVID-19 “Offer Support”,https://docs.google.com/forms/d/e/1FAIpQLSfAMZHbn6md19Tb28SM53ayFAQK02xJv1NXVjL-J26tDZOQ-g/viewform?fbclid=IwAR1iWGCoivJrrelsya2gQKCRNyxXTZHJzDeVhBI_i4UpcQkJ4-TCKFFQNW8
Oregon,OR,South Willamette Valley Mutual Aid Network,https://docs.google.com/document/d/1tzs4T_8-HvVj8HxTu2UO9m22nSdvqo3lsnXjWmfURIU/edit
Oregon,OR,Yamhill County Oregon Mutual Aid Discord,https://discord.gg/yvx8xmU
,,,
Pennsylvania,PA,Anthracite Unite Mutual Aid Programs,https://anthraciteunite.com/2020/04/14/anthracite-unite-launches-mutual-aid-initiatives/
Pennsylvania,PA,Lehigh Valley Mutual Aid,https://www.facebook.com/LVMA0/
Pennsylvania,PA,Neighbors Helping Neighbors,https://docs.google.com/forms/d/e/1FAIpQLSf4tHQTrOG0DDh6hytdw8rdN7sFkm74Q1yMii2YeOLis2qNvA/viewform
Pennsylvania,PA,Philly Socialists Mutual Aid,https://www.phillysocialists.org/covidmutualaid?fbclid=IwAR3OPaHpFtza3mofN-XeVlEhtsMsQ8REAC0nXpRdzujQV34FD8BJp1I__Bk
Pennsylvania,PA,Pinelands Mutual Aid Coalition,https://twitter.com/PineyMutualAid
Pennsylvania,PA,Pitt Mutual Aid,https://www.instagram.com/pittmutualaid/
,,,
Rhode Island,RI,Providence Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSenjuUhXCRwz0AvamQTihj6WsK-EX0ukG-aC88i4lFVaH6Q4A/viewform
,,,
Tennessee,TN,First Aid Collective of Knoxville,https://linktr.ee/firstaidcollectiveknox
Tennessee,TN,Nashville Anarchist Black Cross,https://twitter.com/NashvilleABC/
,,,
Texas,TX,Aid Network of Denton County,https://twitter.com/AidDenton
Texas,TX,Corpus Christi Mutual Aid,https://www.facebook.com/pg/CCMutualAid
Texas,TX,Laredo Mutual Aid/Ayuda Mutua Laredo,https://www.facebook.com/groups/2190227557872562
Texas,TX,Molo Deep East TX Mutual Aid,https://twitter.com/moloaid
Texas,TX,North Texas Mutual Aid Fund,https://ntxmutualaid.org/
Texas,TX,Primrose Community Care,https://www.facebook.com/groups/2600062263571948
Texas,TX,San Antonio Mutual Aid,https://docs.google.com/forms/d/1tXQxjwnbCfA2oZXf36IwdzRO8zNA43_XBYOeh5RaFSQ/viewform?edit_requested=true
Texas,TX,Support Austin Sex Workers,http://atx.swopusa.org/donate
,,,
Utah,UT,Salt Lake Valley,https://www.facebook.com/groups/covid19mutualaidslc/
,,,
Vermont,VT,Community Mutual Aid (BTV),https://www.gofundme.com/f/community-mutual-aid-btv-copwatch
Vermont,VT,Mutual Aid Hubs in Vermont,https://www.pjcvt.org/mutual-aid-and-other-resources-related-to-covid-19/
,,,
Virginia,VA,Corona Aid 757,http://coronaaid757.com/
Virginia,VA,Future Economy Collective,https://www.facebook.com/futureeconomycollective
Virginia,VA,Mutual Aid Infrastructure Charlottesville,https://www.facebook.com/groups/500721927287565/
Virginia,VA,Northern Virginia COVID-19 Supply Exchange,https://www.facebook.com/groups/1025571771159434/
,,,
Washington,WA,Cascadia Bioregional Mutual Aid for Deaf Communities of Color,https://www.cascadiadeafnation.co/
Washington,WA,Common Stash: Mutual Aid in So-Called Olympia,https://www.commonstash.org/
Washington,WA,Jefferson County Mutual Aid,https://www.jeffcomutualaid.com/
Washington,WA,Kitsap Community Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSe3-NO3xzaMwnjcSwMQYDebRDENX4-m5Akb354_oA04QS5XKw/viewform
Washington,WA,Masks for Docs,https://masksfordocs.com/about-us
Washington,WA,Olympia Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSegS8HmpiafpmTs5sqwZoDtUljxcEVuO2i9aUyBpJhqaUw7Mg/viewform
Washington,WA,Puget Sound COV-19 Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSdgbAX21UARi98rKKX6b6mpvpVHW4b63F2n2beJlHielcdU2Q/viewform
Washington,WA,Snohomish County Emergency Mutual Aid Group,https://www.facebook.com/groups/253259112349167/
Washington,WA,Snohomish County Mutual Aid,https://www.facebook.com/groups/142262693785689/
Washington,WA,Southwest Washington Mutual Aid,https://www.facebook.com/groups/214535229807145/
Washington,WA,Support Seattle Sex Workers,https://seattle.swopusa.org/donate/
Washington,WA,Tacoma Food Not Bombs,https://www.facebook.com/TacomaHomeless/?tsid=0.7631439143143652
Washington,WA,Tacoma Mutual Aid Collective,https://www.facebook.com/TacomaMutualAidCollective/
,,,
Washington DC,DC,DC Direct Action Mutual Aid Network,https://www.facebook.com/groups/492881801379594/
Washington DC,DC,DC Ward One Mutual Aid,https://twitter.com/DCW1MutualAid
Washington DC,DC,East River Mutual Aid Fund,https://www.gofundme.com/f/blmcovid?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet
Washington DC,DC,Takoma DC Community Care and Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSfwZ4xkZzW2-TdWlIUPlSpvaG1QRIRHy4ulYKqsyV9NqgKYMw/viewform
,,,
Wisconsin,WI,Madison General Defense Committee,https://docs.google.com/spreadsheets/d/e/2PACX-1vQw7ptVb-w6FC1xxhEmw_uwN72BrsQMVlBWwv6hy_VG_91SBwF2QiSytoORlUNOP5l12xiw2foGMgK7/pubhtml?gid=1121011970&single=true
Wisconsin,WI,Madison Mutual Aid,https://docs.google.com/spreadsheets/u/0/d/1P3fVeaCTFWLc9B1N9U6Ks2DhEOdPCoZZUgC3iduQgeg/htmlview?urp=gmail_link#gid=808612577
Wisconsin,WI,Milwaukee Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSeSBeD9YdRmTBvdaGla0OLGyCQdM-JY2DdlZapgAlhpxE448A/viewform?fbclid=IwAR2mRSE0qGN1lFI1aV5qXWflE6xXjpJ-V6c4goaKJPPGfc6caPNT53kjWLA
,,,
Canada,Canada,Barrie (Ontario) Mutual Aid,https://www.facebook.com/groups/BarrieCovid19MutualAidGroup/
Canada,Canada,Halifax Community Care,https://www.facebook.com/groups/1401399166697546/
Canada,Canada,Hamilton Community Response,https://www.facebook.com/groups/Hamont.Response.COVID19/
Canada,Canada,Montreal Mutual Aid,https://www.facebook.com/groups/1005041203222884/
Canada,Canada,"Mutual Aid Katarokwi (Kingston, ON)",https://mutualaidkatarokwi.wordpress.com/
Canada,Canada,Mutual Aid Society Winnipeg,https://www.facebook.com/groups/220944599058149/
